lat,lon,mwd,swh_typical,swh_rough,mwp_typical,mwp_rough,swh_typical_norm,swh_rough_norm
27.0,72.5,,,,,,,
27.0,73.0,,,,,,,
27.0,73.5,,,,,,,
27.0,74.0,,,,,,,
27.0,74.5,,,,,,,
27.0,75.0,,,,,,,
27.0,75.5,,,,,,,
27.0,76.0,,,,,,,
27.0,76.5,,,,,,,
27.0,77.0,,,,,,,
27.0,77.5,,,,,,,
27.0,78.0,,,,,,,
27.0,78.5,,,,,,,
27.0,79.0,,,,,,,
27.0,79.5,,,,,,,
27.0,80.0,,,,,,,
27.0,80.5,,,,,,,
27.0,81.0,,,,,,,
27.0,81.5,,,,,,,
27.0,82.0,,,,,,,
27.0,82.5,,,,,,,
27.0,83.0,,,,,,,
27.0,83.5,,,,,,,
27.0,84.0,,,,,,,
27.0,84.5,,,,,,,
27.0,85.0,,,,,,,
27.0,85.5,,,,,,,
27.0,86.0,,,,,,,
27.0,86.5,,,,,,,
27.0,87.0,,,,,,,
27.0,87.5,,,,,,,
27.0,88.0,,,,,,,
27.0,88.5,,,,,,,
27.0,89.0,,,,,,,
27.0,89.5,,,,,,,
27.0,90.0,,,,,,,
27.0,90.5,,,,,,,
27.0,91.0,,,,,,,
27.0,91.5,,,,,,,
27.0,92.0,,,,,,,
27.0,92.5,,,,,,,
27.0,93.0,,,,,,,
27.0,93.5,,,,,,,
27.0,94.0,,,,,,,
27.0,94.5,,,,,,,
27.0,95.0,,,,,,,
27.0,95.5,,,,,,,
27.0,96.0,,,,,,,
27.0,96.5,,,,,,,
27.0,97.0,,,,,,,
27.0,97.5,,,,,,,
27.0,98.0,,,,,,,
27.0,98.5,,,,,,,
27.0,99.0,,,,,,,
27.0,99.5,,,,,,,
27.0,100.0,,,,,,,
26.5,50.0,,,,,,,
26.5,50.5,349.44662,0.52002335,1.1898761,3.2677474,2.2804632,0.18636263469700337,0.20137271934974268
26.5,51.0,336.80728,0.5021064,1.130628,3.179259,2.3029869,0.17693460504906247,0.18809759314100272
26.5,51.5,331.2706,0.7040185,1.7235659,3.6747658,2.4707239,0.28318238562183135,0.32095126149043035
26.5,52.0,319.73468,0.78852713,2.0002909,3.8654544,2.4960933,0.3276515368927849,0.38295424664365246
26.5,52.5,309.50702,0.79697335,2.0528753,3.9255712,2.5209317,0.33209600559240776,0.39473630878324606
26.5,53.0,298.29767,0.7456528,1.9674782,3.9411545,2.5487344,0.3050907081987249,0.3756022302529346
26.5,53.5,286.812,0.6391791,1.7022467,3.9140682,2.525797,0.24906337896924233,0.31617446610836514
26.5,54.0,274.26773,0.5363714,1.3916463,3.820121,2.495828,0.19496512053077691,0.24658134463067963
26.5,54.5,262.2081,0.49436322,1.26811,3.7694864,2.5283856,0.17286006441129892,0.21890181877754902
26.5,55.0,236.99295,0.4393192,1.0979595,3.4376206,2.5128634,0.14389544520996714,0.18077789588879659
26.5,55.5,227.47368,0.4372063,1.065692,3.433267,2.5860887,0.14278362233482897,0.17354802447362758
26.5,56.0,220.89185,0.4670839,1.1275752,3.620321,2.7225919,0.1585054630293685,0.1874135759359227
26.5,56.5,215.65192,0.44555548,0.99380136,3.7945569,3.0557292,0.14717702970207594,0.15744021925944607
26.5,57.0,,,,,,,
26.5,57.5,,,,,,,
26.5,58.0,,,,,,,
26.5,58.5,,,,,,,
26.5,59.0,,,,,,,
26.5,59.5,,,,,,,
26.5,60.0,,,,,,,
26.5,60.5,,,,,,,
26.5,61.0,,,,,,,
26.5,61.5,,,,,,,
26.5,62.0,,,,,,,
26.5,62.5,,,,,,,
26.5,63.0,,,,,,,
26.5,63.5,,,,,,,
26.5,64.0,,,,,,,
26.5,64.5,,,,,,,
26.5,65.0,,,,,,,
26.5,65.5,,,,,,,
26.5,66.0,,,,,,,
26.5,66.5,,,,,,,
26.5,67.0,,,,,,,
26.5,67.5,,,,,,,
26.5,68.0,,,,,,,
26.5,68.5,,,,,,,
26.5,69.0,,,,,,,
26.5,69.5,,,,,,,
26.5,70.0,,,,,,,
26.5,70.5,,,,,,,
26.5,71.0,,,,,,,
26.5,71.5,,,,,,,
26.5,72.0,,,,,,,
26.5,72.5,,,,,,,
26.5,73.0,,,,,,,
26.5,73.5,,,,,,,
26.5,74.0,,,,,,,
26.5,74.5,,,,,,,
26.5,75.0,,,,,,,
26.5,75.5,,,,,,,
26.5,76.0,,,,,,,
26.5,76.5,,,,,,,
26.5,77.0,,,,,,,
26.5,77.5,,,,,,,
26.5,78.0,,,,,,,
26.5,78.5,,,,,,,
26.5,79.0,,,,,,,
26.5,79.5,,,,,,,
26.5,80.0,,,,,,,
26.5,80.5,,,,,,,
26.5,81.0,,,,,,,
26.5,81.5,,,,,,,
26.5,82.0,,,,,,,
26.5,82.5,,,,,,,
26.5,83.0,,,,,,,
26.5,83.5,,,,,,,
26.5,84.0,,,,,,,
26.5,84.5,,,,,,,
26.5,85.0,,,,,,,
26.5,85.5,,,,,,,
26.5,86.0,,,,,,,
26.5,86.5,,,,,,,
26.5,87.0,,,,,,,
26.5,87.5,,,,,,,
26.5,88.0,,,,,,,
26.5,88.5,,,,,,,
26.5,89.0,,,,,,,
26.5,89.5,,,,,,,
26.5,90.0,,,,,,,
26.5,90.5,,,,,,,
26.5,91.0,,,,,,,
26.5,91.5,,,,,,,
26.5,92.0,,,,,,,
26.5,92.5,,,,,,,
26.5,93.0,,,,,,,
26.5,93.5,,,,,,,
26.5,94.0,,,,,,,
26.5,94.5,,,,,,,
26.5,95.0,,,,,,,
26.5,95.5,,,,,,,
26.5,96.0,,,,,,,
26.5,96.5,,,,,,,
26.5,97.0,,,,,,,
26.5,97.5,,,,,,,
26.5,98.0,,,,,,,
26.5,98.5,,,,,,,
26.5,99.0,,,,,,,
26.5,99.5,,,,,,,
26.5,100.0,,,,,,,
26.0,50.0,,,,,,,
26.0,50.5,352.6118,0.39815503,0.9280274,2.8727212,2.1648407,0.12223452545234914,0.1427029057783528
26.0,51.0,,,,,,,
26.0,51.5,348.34418,0.625178,1.5242343,3.5806274,2.4291573,0.24169586854228614,0.2762890166205644
26.0,52.0,334.80667,0.7459597,1.8882802,3.8229237,2.501344,0.3052522037763682,0.35785712679773624
26.0,52.5,323.77448,0.7893136,2.0367866,3.9248776,2.5081134,0.3280653908735584,0.3911314694676925
26.0,53.0,315.4411,0.7894355,2.0393176,3.9680753,2.5367444,0.32812953118357596,0.39169857686346193
26.0,53.5,308.2792,0.7627715,2.0103617,3.983856,2.5683298,0.31409870506830145,0.38521071013247127
26.0,54.0,300.81915,0.72367007,1.9465084,3.9798918,2.570429,0.2935232149971273,0.3709037486841887
26.0,54.5,293.83795,0.67792094,1.8270755,3.9639592,2.6155653,0.2694496472847509,0.3441436088366054
26.0,55.0,289.07812,0.62217826,1.6810127,3.9217288,2.6443279,0.2401173896267586,0.31141679510908865
26.0,55.5,286.14676,0.5520584,1.4866308,3.917586,2.6797237,0.20321974319662633,0.2678635774707479
26.0,56.0,279.7231,0.46477526,1.2505863,4.083916,2.8413465,0.1572906392847449,0.2149754440988515
26.0,56.5,182.92004,0.35282525,0.7027509,4.508138,3.6911688,0.0983816223615515,0.09222746287143646
26.0,57.0,204.74178,0.39510095,0.7644471,4.4154463,3.5780337,0.1206274421540656,0.10605110629379365
26.0,57.5,,,,,,,
26.0,58.0,,,,,,,
26.0,58.5,,,,,,,
26.0,59.0,,,,,,,
26.0,59.5,,,,,,,
26.0,60.0,,,,,,,
26.0,60.5,,,,,,,
26.0,61.0,,,,,,,
26.0,61.5,,,,,,,
26.0,62.0,,,,,,,
26.0,62.5,,,,,,,
26.0,63.0,,,,,,,
26.0,63.5,,,,,,,
26.0,64.0,,,,,,,
26.0,64.5,,,,,,,
26.0,65.0,,,,,,,
26.0,65.5,,,,,,,
26.0,66.0,,,,,,,
26.0,66.5,,,,,,,
26.0,67.0,,,,,,,
26.0,67.5,,,,,,,
26.0,68.0,,,,,,,
26.0,68.5,,,,,,,
26.0,69.0,,,,,,,
26.0,69.5,,,,,,,
26.0,70.0,,,,,,,
26.0,70.5,,,,,,,
26.0,71.0,,,,,,,
26.0,71.5,,,,,,,
26.0,72.0,,,,,,,
26.0,72.5,,,,,,,
26.0,73.0,,,,,,,
26.0,73.5,,,,,,,
26.0,74.0,,,,,,,
26.0,74.5,,,,,,,
26.0,75.0,,,,,,,
26.0,75.5,,,,,,,
26.0,76.0,,,,,,,
26.0,76.5,,,,,,,
26.0,77.0,,,,,,,
26.0,77.5,,,,,,,
26.0,78.0,,,,,,,
26.0,78.5,,,,,,,
26.0,79.0,,,,,,,
26.0,79.5,,,,,,,
26.0,80.0,,,,,,,
26.0,80.5,,,,,,,
26.0,81.0,,,,,,,
26.0,81.5,,,,,,,
26.0,82.0,,,,,,,
26.0,82.5,,,,,,,
26.0,83.0,,,,,,,
26.0,83.5,,,,,,,
26.0,84.0,,,,,,,
26.0,84.5,,,,,,,
26.0,85.0,,,,,,,
26.0,85.5,,,,,,,
26.0,86.0,,,,,,,
26.0,86.5,,,,,,,
26.0,87.0,,,,,,,
26.0,87.5,,,,,,,
26.0,88.0,,,,,,,
26.0,88.5,,,,,,,
26.0,89.0,,,,,,,
26.0,89.5,,,,,,,
26.0,90.0,,,,,,,
26.0,90.5,,,,,,,
26.0,91.0,,,,,,,
26.0,91.5,,,,,,,
26.0,92.0,,,,,,,
26.0,92.5,,,,,,,
26.0,93.0,,,,,,,
26.0,93.5,,,,,,,
26.0,94.0,,,,,,,
26.0,94.5,,,,,,,
26.0,95.0,,,,,,,
26.0,95.5,,,,,,,
26.0,96.0,,,,,,,
26.0,96.5,,,,,,,
26.0,97.0,,,,,,,
26.0,97.5,,,,,,,
26.0,98.0,,,,,,,
26.0,98.5,,,,,,,
26.0,99.0,,,,,,,
26.0,99.5,,,,,,,
26.0,100.0,,,,,,,
25.5,50.0,,,,,,,
25.5,50.5,351.56506,0.39404637,0.986726,2.871697,2.146959,0.12007251085570826,0.15585491209538216
25.5,51.0,,,,,,,
25.5,51.5,358.77966,0.36875448,0.8558772,2.8744652,2.2272856,0.10676371017161188,0.1265369394698661
25.5,52.0,347.7682,0.6689584,1.6711707,3.7046263,2.4475281,0.2647334996778557,0.30921158817134753
25.5,52.5,334.64117,0.7310203,1.872905,3.8407097,2.473433,0.29739095410232325,0.35441217373270434
25.5,53.0,327.23154,0.7539137,1.936188,3.9144049,2.494565,0.3094376648084482,0.3685913543887223
25.5,53.5,320.332,0.7467893,1.94423,3.9481049,2.5421333,0.3056887342579449,0.37039323984586253
25.5,54.0,314.2857,0.7227542,1.8818746,3.9652452,2.5734718,0.2930412687850345,0.35642188994749724
25.5,54.5,308.07196,0.68486035,1.7910498,3.9569955,2.6182475,0.27310122256762853,0.3360717036680626
25.5,55.0,303.80768,0.6323944,1.6447921,3.9215093,2.6352,0.24549319444650927,0.3033011923284755
25.5,55.5,300.53363,0.52983,1.3021253,3.8405964,2.650018,0.19152296571244076,0.22652328596934648
25.5,56.0,,,,,,,
25.5,56.5,131.43303,0.40281403,0.82056046,4.492661,3.6822398,0.12468612805993973,0.11862386550558782
25.5,57.0,140.85464,0.44956955,0.9394783,4.6963973,3.8217204,0.1492892689089868,0.1452685913056429
25.5,57.5,164.54765,0.48367497,0.97571176,4.893089,3.846846,0.16723582174526505,0.15338706541467756
25.5,58.0,171.37933,0.50726306,0.93461555,5.2457705,4.0182204,0.1796480694895805,0.1441790490423362
25.5,58.5,176.73988,0.5453038,0.9420205,5.3544374,4.0141063,0.1996654290880101,0.14583819608938825
25.5,59.0,,,,,,,
25.5,59.5,,,,,,,
25.5,60.0,,,,,,,
25.5,60.5,,,,,,,
25.5,61.0,,,,,,,
25.5,61.5,,,,,,,
25.5,62.0,,,,,,,
25.5,62.5,,,,,,,
25.5,63.0,,,,,,,
25.5,63.5,,,,,,,
25.5,64.0,,,,,,,
25.5,64.5,,,,,,,
25.5,65.0,,,,,,,
25.5,65.5,,,,,,,
25.5,66.0,,,,,,,
25.5,66.5,,,,,,,
25.5,67.0,,,,,,,
25.5,67.5,,,,,,,
25.5,68.0,,,,,,,
25.5,68.5,,,,,,,
25.5,69.0,,,,,,,
25.5,69.5,,,,,,,
25.5,70.0,,,,,,,
25.5,70.5,,,,,,,
25.5,71.0,,,,,,,
25.5,71.5,,,,,,,
25.5,72.0,,,,,,,
25.5,72.5,,,,,,,
25.5,73.0,,,,,,,
25.5,73.5,,,,,,,
25.5,74.0,,,,,,,
25.5,74.5,,,,,,,
25.5,75.0,,,,,,,
25.5,75.5,,,,,,,
25.5,76.0,,,,,,,
25.5,76.5,,,,,,,
25.5,77.0,,,,,,,
25.5,77.5,,,,,,,
25.5,78.0,,,,,,,
25.5,78.5,,,,,,,
25.5,79.0,,,,,,,
25.5,79.5,,,,,,,
25.5,80.0,,,,,,,
25.5,80.5,,,,,,,
25.5,81.0,,,,,,,
25.5,81.5,,,,,,,
25.5,82.0,,,,,,,
25.5,82.5,,,,,,,
25.5,83.0,,,,,,,
25.5,83.5,,,,,,,
25.5,84.0,,,,,,,
25.5,84.5,,,,,,,
25.5,85.0,,,,,,,
25.5,85.5,,,,,,,
25.5,86.0,,,,,,,
25.5,86.5,,,,,,,
25.5,87.0,,,,,,,
25.5,87.5,,,,,,,
25.5,88.0,,,,,,,
25.5,88.5,,,,,,,
25.5,89.0,,,,,,,
25.5,89.5,,,,,,,
25.5,90.0,,,,,,,
25.5,90.5,,,,,,,
25.5,91.0,,,,,,,
25.5,91.5,,,,,,,
25.5,92.0,,,,,,,
25.5,92.5,,,,,,,
25.5,93.0,,,,,,,
25.5,93.5,,,,,,,
25.5,94.0,,,,,,,
25.5,94.5,,,,,,,
25.5,95.0,,,,,,,
25.5,95.5,,,,,,,
25.5,96.0,,,,,,,
25.5,96.5,,,,,,,
25.5,97.0,,,,,,,
25.5,97.5,,,,,,,
25.5,98.0,,,,,,,
25.5,98.5,,,,,,,
25.5,99.0,,,,,,,
25.5,99.5,,,,,,,
25.5,100.0,,,,,,,
25.0,50.0,,,,,,,
25.0,50.5,,,,,,,
25.0,51.0,,,,,,,
25.0,51.5,9.477414,0.4083573,0.97299767,3.0276554,2.2991235,0.12760303803636433,0.15277894476503642
25.0,52.0,355.81525,0.515264,1.2173179,3.3131545,2.3555532,0.18385821434756947,0.2075213419664875
25.0,52.5,344.24692,0.62808716,1.5452363,3.6238673,2.453656,0.2432267048510085,0.2809947366079356
25.0,53.0,336.6856,0.67663276,1.69143,3.7728245,2.4943888,0.26877179868812523,0.3137508779503993
25.0,53.5,330.3966,0.6804988,1.7102334,3.8218102,2.5759945,0.27080612858937175,0.31796398482076904
25.0,54.0,324.46518,0.66934276,1.6696044,3.8547013,2.6332822,0.26493573768225337,0.30886064506316113
25.0,54.5,317.90295,0.6307704,1.5257089,3.8519268,2.6748314,0.2446386385116738,0.27661941971427517
25.0,55.0,,,,,,,
25.0,55.5,,,,,,,
25.0,56.0,,,,,,,
25.0,56.5,101.80208,0.4298171,0.9053251,4.0119853,3.2544117,0.13889537087620932,0.1376162339620365
25.0,57.0,108.62345,0.48907956,1.0847445,4.347346,3.592868,0.17007976231765254,0.17781692860048576
25.0,57.5,131.57072,0.53777814,1.1531885,4.735123,3.8500628,0.1957053530279527,0.19315249337445975
25.0,58.0,152.36427,0.59232765,1.1668317,5.11519,4.081322,0.22440975703023278,0.1962094030970963
25.0,58.5,162.16785,0.6675211,1.2460084,5.52013,4.297537,0.26397717721537967,0.2139497254565975
25.0,59.0,170.09401,0.75375694,1.3246188,5.9651084,4.4975452,0.30935517629238646,0.23156317516491626
25.0,59.5,176.26324,0.838075,1.4039412,6.4335423,4.7120366,0.3537240240369654,0.2493361371833111
25.0,60.0,181.98576,0.9356796,1.5982877,6.80379,4.9557743,0.405084385124642,0.292881421942199
25.0,60.5,185.36482,1.0252767,1.8402395,7.0619226,5.135761,0.45223108853539473,0.34709314423129384
25.0,61.0,189.22517,1.07099,1.9887056,7.202512,5.278987,0.4762858062104506,0.3803584589104923
25.0,61.5,190.58365,0.9055322,1.6966115,7.081923,4.931005,0.3892205575433301,0.31491185619382966
25.0,62.0,,,,,,,
25.0,62.5,193.2973,1.063022,1.9850373,7.112886,4.989346,0.47209300589595293,0.379536537811085
25.0,63.0,198.68365,1.0983958,2.1028717,7.3136945,5.0250244,0.49070699432987114,0.4059384961318565
25.0,63.5,201.18561,1.1715602,2.259191,7.36811,5.1529264,0.5292066743810679,0.4409634142878117
25.0,64.0,206.31493,1.1671349,2.254033,7.186311,5.0395937,0.5268780518006553,0.43980772463068324
25.0,64.5,209.03633,1.004763,1.9588865,7.11898,4.8334594,0.441436635050669,0.37367718483903606
25.0,65.0,208.15018,1.1807773,2.3393607,7.3039007,5.265187,0.5340568109387677,0.4589262312124391
25.0,65.5,212.33989,1.2425367,2.476862,7.308332,5.2352285,0.5665550907552455,0.48973475716410964
25.0,66.0,216.1023,1.2650732,2.5218804,7.229896,5.1616664,0.5784139911061698,0.49982158700365176
25.0,66.5,220.16922,1.225043,2.4505367,7.1237655,5.128281,0.5573498114651259,0.48383632741549654
25.0,67.0,229.14476,0.8897544,1.685823,6.271193,4.5101485,0.3809181668128564,0.31249457160337524
25.0,67.5,,,,,,,
25.0,68.0,,,,,,,
25.0,68.5,,,,,,,
25.0,69.0,,,,,,,
25.0,69.5,,,,,,,
25.0,70.0,,,,,,,
25.0,70.5,,,,,,,
25.0,71.0,,,,,,,
25.0,71.5,,,,,,,
25.0,72.0,,,,,,,
25.0,72.5,,,,,,,
25.0,73.0,,,,,,,
25.0,73.5,,,,,,,
25.0,74.0,,,,,,,
25.0,74.5,,,,,,,
25.0,75.0,,,,,,,
25.0,75.5,,,,,,,
25.0,76.0,,,,,,,
25.0,76.5,,,,,,,
25.0,77.0,,,,,,,
25.0,77.5,,,,,,,
25.0,78.0,,,,,,,
25.0,78.5,,,,,,,
25.0,79.0,,,,,,,
25.0,79.5,,,,,,,
25.0,80.0,,,,,,,
25.0,80.5,,,,,,,
25.0,81.0,,,,,,,
25.0,81.5,,,,,,,
25.0,82.0,,,,,,,
25.0,82.5,,,,,,,
25.0,83.0,,,,,,,
25.0,83.5,,,,,,,
25.0,84.0,,,,,,,
25.0,84.5,,,,,,,
25.0,85.0,,,,,,,
25.0,85.5,,,,,,,
25.0,86.0,,,,,,,
25.0,86.5,,,,,,,
25.0,87.0,,,,,,,
25.0,87.5,,,,,,,
25.0,88.0,,,,,,,
25.0,88.5,,,,,,,
25.0,89.0,,,,,,,
25.0,89.5,,,,,,,
25.0,90.0,,,,,,,
25.0,90.5,,,,,,,
25.0,91.0,,,,,,,
25.0,91.5,,,,,,,
25.0,92.0,,,,,,,
25.0,92.5,,,,,,,
25.0,93.0,,,,,,,
25.0,93.5,,,,,,,
25.0,94.0,,,,,,,
25.0,94.5,,,,,,,
25.0,95.0,,,,,,,
25.0,95.5,,,,,,,
25.0,96.0,,,,,,,
25.0,96.5,,,,,,,
25.0,97.0,,,,,,,
25.0,97.5,,,,,,,
25.0,98.0,,,,,,,
25.0,98.5,,,,,,,
25.0,99.0,,,,,,,
25.0,99.5,,,,,,,
25.0,100.0,,,,,,,
24.5,50.0,,,,,,,
24.5,50.5,,,,,,,
24.5,51.0,,,,,,,
24.5,51.5,16.024012,0.3402939,0.8032097,2.7615063,2.2207193,0.09178752802492446,0.11473626043808846
24.5,52.0,0.95165414,0.44553462,1.0210762,3.0431557,2.3469355,0.14716605214290424,0.16355142112160004
24.5,52.5,349.54288,0.5493533,1.3222902,3.4261348,2.4507518,0.2017962987810581,0.23104142140319056
24.5,53.0,341.4177,0.44101894,1.0177362,3.1770165,2.3707142,0.14478986536682328,0.16280305944984666
24.5,53.5,338.32245,0.48917076,1.1113623,3.3140826,2.5009456,0.1701277499334603,0.18378093147723631
24.5,54.0,330.8649,0.5254044,1.2126336,3.47426,2.6043901,0.18919418630975424,0.20647177126581118
24.5,54.5,321.85498,0.3756724,0.7890666,3.2404566,2.47933,0.11040397856854259,0.11156735555199764
24.5,55.0,,,,,,,
24.5,55.5,,,,,,,
24.5,56.0,,,,,,,
24.5,56.5,,,,,,,
24.5,57.0,69.984726,0.42007652,0.86604434,3.8567662,3.120964,0.13376979167666408,0.12881498466440183
24.5,57.5,86.73827,0.48248008,1.0647582,4.2875867,3.56867,0.16660705852036428,0.17333880479431985
24.5,58.0,119.69507,0.5462996,1.1647868,4.769371,3.9255416,0.20018940366950322,0.19575121921112096
24.5,58.5,144.02986,0.6264561,1.2281934,5.342229,4.2430377,0.24236841654605465,0.20995809817014446
24.5,59.0,159.56041,0.72482616,1.2622925,5.9366636,4.538127,0.2941315599619687,0.21759834251431692
24.5,59.5,171.0288,0.84804624,1.4054983,6.4609575,4.790568,0.358970983676495,0.2496850236190468
24.5,60.0,178.37624,0.98361784,1.6546626,6.8730717,5.0557227,0.4303098751675881,0.3055127829638235
24.5,60.5,183.53131,1.1051965,1.9624279,7.1541257,5.2477856,0.4942855531620295,0.3744706597545467
24.5,61.0,187.87625,1.1871117,2.1765618,7.2932253,5.3434486,0.5373900370056656,0.42244951598651165
24.5,61.5,191.36057,1.2389017,2.3161213,7.3487716,5.372602,0.5646423608451667,0.4537192173477223
24.5,62.0,194.5327,1.2800877,2.4225225,7.387212,5.3976517,0.5863147599932328,0.47755946993594606
24.5,62.5,198.54825,1.3142014,2.5061283,7.4194484,5.3750024,0.6042656411242702,0.4962921768179801
24.5,63.0,202.75139,1.3331131,2.5766351,7.418401,5.362689,0.6142171435224277,0.5120899319827036
24.5,63.5,206.77444,1.341246,2.6220305,7.400076,5.3255754,0.6184967606477463,0.5222612189428855
24.5,64.0,209.79143,1.3442128,2.6560884,7.3785753,5.351788,0.6200578950197825,0.5298922216160454
24.5,64.5,212.17416,1.3490142,2.6795878,7.368491,5.366435,0.6225844273098337,0.5351575167702106
24.5,65.0,215.11308,1.3579402,2.7130833,7.3318915,5.34158,0.6272813798704059,0.5426625015132067
24.5,65.5,218.17474,1.3653494,2.743974,7.271862,5.269604,0.6311801697858304,0.5495838720607639
24.5,66.0,221.25406,1.36556,2.7399921,7.1979437,5.1942735,0.6312910117690098,0.5486917035776492
24.5,66.5,224.83453,1.3266499,2.6519122,7.066752,5.103747,0.6108161702332129,0.5289565157810514
24.5,67.0,232.12724,1.1789143,2.3342535,6.715755,4.87392,0.5330764835402791,0.45778192002886925
24.5,67.5,,,,,,,
24.5,68.0,,,,,,,
24.5,68.5,,,,,,,
24.5,69.0,,,,,,,
24.5,69.5,,,,,,,
24.5,70.0,,,,,,,
24.5,70.5,,,,,,,
24.5,71.0,,,,,,,
24.5,71.5,,,,,,,
24.5,72.0,,,,,,,
24.5,72.5,,,,,,,
24.5,73.0,,,,,,,
24.5,73.5,,,,,,,
24.5,74.0,,,,,,,
24.5,74.5,,,,,,,
24.5,75.0,,,,,,,
24.5,75.5,,,,,,,
24.5,76.0,,,,,,,
24.5,76.5,,,,,,,
24.5,77.0,,,,,,,
24.5,77.5,,,,,,,
24.5,78.0,,,,,,,
24.5,78.5,,,,,,,
24.5,79.0,,,,,,,
24.5,79.5,,,,,,,
24.5,80.0,,,,,,,
24.5,80.5,,,,,,,
24.5,81.0,,,,,,,
24.5,81.5,,,,,,,
24.5,82.0,,,,,,,
24.5,82.5,,,,,,,
24.5,83.0,,,,,,,
24.5,83.5,,,,,,,
24.5,84.0,,,,,,,
24.5,84.5,,,,,,,
24.5,85.0,,,,,,,
24.5,85.5,,,,,,,
24.5,86.0,,,,,,,
24.5,86.5,,,,,,,
24.5,87.0,,,,,,,
24.5,87.5,,,,,,,
24.5,88.0,,,,,,,
24.5,88.5,,,,,,,
24.5,89.0,,,,,,,
24.5,89.5,,,,,,,
24.5,90.0,,,,,,,
24.5,90.5,,,,,,,
24.5,91.0,,,,,,,
24.5,91.5,,,,,,,
24.5,92.0,,,,,,,
24.5,92.5,,,,,,,
24.5,93.0,,,,,,,
24.5,93.5,,,,,,,
24.5,94.0,,,,,,,
24.5,94.5,,,,,,,
24.5,95.0,,,,,,,
24.5,95.5,,,,,,,
24.5,96.0,,,,,,,
24.5,96.5,,,,,,,
24.5,97.0,,,,,,,
24.5,97.5,,,,,,,
24.5,98.0,,,,,,,
24.5,98.5,,,,,,,
24.5,99.0,,,,,,,
24.5,99.5,,,,,,,
24.5,100.0,,,,,,,
24.0,50.0,,,,,,,
24.0,50.5,,,,,,,
24.0,51.0,,,,,,,
24.0,51.5,,,,,,,
24.0,52.0,4.138658,0.42737728,0.971406,3.0363944,2.3846955,0.13761151396662308,0.15242231242007065
24.0,52.5,352.11337,0.46353126,1.081741,3.262986,2.4635828,0.15663603174910845,0.17714396934858245
24.0,53.0,346.0038,0.32791167,0.7269698,2.8389175,2.314086,0.08527189187192036,0.09765393971266696
24.0,53.5,341.78583,0.40911976,0.917907,3.1558273,2.4981027,0.12800425214186292,0.1404353309162936
24.0,54.0,333.7365,0.34730643,0.7619143,2.975772,2.4060628,0.09547757181158519,0.10548361160256271
24.0,54.5,,,,,,,
24.0,55.0,,,,,,,
24.0,55.5,,,,,,,
24.0,56.0,,,,,,,
24.0,56.5,,,,,,,
24.0,57.0,53.23808,0.3809489,0.71851355,3.5570636,2.785405,0.1131805169276158,0.09575923689492488
24.0,57.5,54.76083,0.41274112,0.8469646,3.7319417,2.9813058,0.12990984663848007,0.124539977295271
24.0,58.0,66.98115,0.44323182,0.9300551,4.050464,3.3456573,0.14595430211484872,0.14315723006472902
24.0,58.5,113.113655,0.5343817,1.0441008,4.8274713,3.9972458,0.193918112301434,0.168710303508963
